name,price,size_mm,color,rpm,airflow_cfm,noise_level_db,pwm,original_price
Fractal Design Prisma AL,0.2387847286677804,0.7368421052631579,White,0.0705128205128205,0.0041659917874238,0.3119468851377357,True,28.39
Fractal Design Prisma AL,0.2387847286677804,0.7368421052631579,White,0.0705128205128205,0.0041659917874238,0.3119468851377357,True,29.98
Fractal Design Prisma AL,0.2387847286677804,0.7368421052631579,White,0.0705128205128205,0.0041659917874238,0.3119468851377357,True,32.20846315789474
Fractal Design Prisma AL,0.2387847286677804,0.7368421052631579,White,0.0705128205128205,0.0041659917874238,0.3119468851377357,True,43.08
Fractal Design Prisma AL,0.2387847286677804,0.7368421052631579,White,0.0705128205128205,0.0041659917874238,0.3119468851377357,True,28.0
Fractal Design Prisma AL,0.2387847286677804,0.7368421052631579,White,0.0705128205128205,0.0041659917874238,0.3119468851377357,True,32.20846315789474
Fractal Design Prisma AL,0.2387847286677804,0.7368421052631579,White,0.0705128205128205,0.0041659917874238,0.3119468851377357,True,32.20846315789474
be quiet! Pure Wings 3,0.0334756512592042,0.4210526315789473,Black,0.1794871794871795,0.000404622367373,0.3153846153846154,False,9.9
be quiet! Pure Wings 3,0.0334756512592042,0.4210526315789473,Black,0.1794871794871795,0.000404622367373,0.3153846153846154,False,11.9
be quiet! Pure Wings 3,0.0334756512592042,0.4210526315789473,Black,0.1794871794871795,0.000404622367373,0.3153846153846154,False,8.9
be quiet! Pure Wings 3,0.0334756512592042,0.4210526315789473,Black,0.1794871794871795,0.000404622367373,0.3153846153846154,False,11.9
be quiet! Pure Wings 3,0.0334756512592042,0.4210526315789473,Black,0.1794871794871795,0.000404622367373,0.3153846153846154,False,11.9
